osmid,latitude,longitude
39076461,40.7864093,-73.7946273
39076490,40.7624294,-73.7570906
39076504,40.7534671,-73.7441643
42421728,40.7980478,-73.9600437
42421731,40.798645,-73.9614743
42421737,40.7992545,-73.962886
42421741,40.8004313,-73.9657046
42421745,40.8014007,-73.9679942
42421749,40.8016441,-73.9685711
42421751,40.8022679,-73.9700504
42421769,40.7826383,-73.9750067
42421772,40.783828,-73.9778254
42421775,40.7845691,-73.9795827
42421776,40.7850311,-73.9806779
42421778,40.7855935,-73.9820114
42421783,40.8593027,-73.9313326
42421785,40.858744,-73.930122
42421786,40.859012,-73.927625
42421791,40.859944,-73.926786
42421800,40.7839863,-73.9703136
42421803,40.7851818,-73.9731496
42421806,40.7863627,-73.9759753
42421809,40.7870877,-73.9776927
42421810,40.7875673,-73.9788289
42421820,40.7885135,-73.9810702
42421828,40.725326,-73.976212
42421852,40.8126219,-73.9568234
42421857,40.8138307,-73.9598214
42421865,40.814184,-73.9606929
42421877,40.7328569,-73.9959291
42421889,40.7341463,-73.9991816
42421941,40.704221,-74.0087998
42421946,40.703813,-74.008325
42421951,40.7033242,-74.0077787
42421960,40.7041084,-74.0089696
42421965,40.7032082,-74.0079771
42421969,40.769279,-73.9810202
42421972,40.7697921,-73.9822548
42421974,40.7704805,-73.9838467
42421982,40.7716682,-73.9866896
42421985,40.7728658,-73.9895487
42421993,40.7872303,-73.9679486
42421996,40.7884325,-73.9707862
42422000,40.7896131,-73.9736025
42422006,40.7902552,-73.9751319
42422016,40.7908174,-73.9764565
42422018,40.7917606,-73.9786893
42422026,40.7115654,-74.0158085
42422028,40.7110102,-74.0143968
42422035,40.7101452,-74.0126714
42422038,40.709687,-74.011674
42422042,40.7091439,-74.010521
42422050,40.708614,-74.009371
42422053,40.7077219,-74.008269
42422086,40.801654,-73.933383
42422110,40.8021373,-73.9337863
42422168,40.8021279,-73.9328482
42422207,40.8006413,-73.9310755
42422258,40.7482137,-74.0074126
42422270,40.7064526,-74.002383
42422283,40.7094916,-74.001657
42422359,40.7979661,-73.9223431
42422366,40.7854139,-73.9836866
42422399,40.7880898,-73.982724
42422509,40.7380812,-73.973672
42422530,40.759667,-73.9582334
42422545,40.7851419,-73.9841938
42422592,40.7849838,-73.9826637
42422899,40.7456771,-73.9721195
42423020,40.7460933,-73.9749173
42423039,40.7165061,-73.9756975
42423051,40.7188498,-73.9747446
42423070,40.7835427,-73.9853308
42423101,40.8442431,-73.9337066
42423116,40.8461493,-73.9323138
42423170,40.8026802,-73.9326138
42423189,40.8033714,-73.9329248
42423203,40.8027007,-73.9334044
42423295,40.71325,-73.977586
42423296,40.7124485,-73.9777809
42423307,40.7107361,-73.9816369
42423331,40.7858009,-73.9837441
42423456,40.7237914,-74.006113
42423514,40.724504,-74.007029
42423549,40.7210513,-73.9747141
42423564,40.7589757,-73.964501
42423565,40.7596362,-73.9639971
42423579,40.7595738,-73.960551
42423674,40.766876,-73.979076
42423752,40.7620792,-73.9619892
42423774,40.738358,-73.9737798
42423832,40.7588307,-73.9987308
42423836,40.7593876,-73.9969538
42423847,40.7588687,-73.9992177
42423885,40.7577413,-73.9968472
42424025,40.7828637,-73.943749
42424032,40.7803049,-73.9856663
42424089,40.7606212,-73.9643559
42424109,40.794774,-73.9304732
42424117,40.7944866,-73.9318124
42424133,40.793786,-73.9322343
42424142,40.7696458,-73.9483958
42424145,40.7687012,-73.9491484
42424218,40.769378,-73.9950384
42424225,40.7794868,-73.9735933
42424235,40.817189,-73.934463
42424258,40.7217241,-74.0067668
