,,osmid,name,highway,maxspeed,oneway,length,geometry,hour_of_day,speed_kph_mean,speed_kph_stddev,est_width
172546,530313,24295532,Emmentaler Straße,secondary,50,False,29.733,"LINESTRING (13.3522545 52.567738, 13.3526642 52.5678354)",9,45.276,6.04,
172546,28345850,4638312,Emmentaler Straße,secondary,50,True,64.155,"LINESTRING (13.3522545 52.567738, 13.3520655 52.5677071, 13.3520358 52.5677022, 13.3515049 52.5676428, 13.351443 52.5676359, 13.351325 52.5676227)",9,14.532,14.245,
530313,172546,24295532,Emmentaler Straße,secondary,50,False,29.733,"LINESTRING (13.3526642 52.5678354, 13.3522545 52.567738)",7,35.007,11.342,
28345850,35244866,4638312,Emmentaler Straße,secondary,50,True,19.106,"LINESTRING (13.351325 52.5676227, 13.35105 52.5675829)",8,35.756,11.516,
28345850,29492967,4638317,Aroser Allee,secondary,50,True,197.68300000000005,"LINESTRING (13.351325 52.5676227, 13.351286 52.5676979, 13.3512456 52.5677759, 13.3511809 52.5679249, 13.3511376 52.5680734, 13.3511119 52.5681992, 13.3510946 52.5682909, 13.3510835 52.5684604, 13.3510848 52.5686303, 13.351094 52.5687691, 13.3511069 52.5688628, 13.3511295 52.5689719, 13.3511594 52.5691125, 13.3512255 52.5693785)",8,46.77,5.457,
172547,34694265,4610047,Holländerstraße,tertiary,50,False,69.586,"LINESTRING (13.339564 52.5640768, 13.3391885 52.5641538, 13.3390852 52.564175, 13.3389009 52.5642127, 13.3385885 52.5642768)",8,42.437,7.171,
34694265,172547,4610047,Holländerstraße,tertiary,50,False,69.586,"LINESTRING (13.3385885 52.5642768, 13.3389009 52.5642127, 13.3390852 52.564175, 13.3391885 52.5641538, 13.339564 52.5640768)",9,38.059,8.842,
172558,530225,4674386,Petersallee,residential,50,True,10.057,"LINESTRING (13.3373679 52.5587807, 13.337277 52.5587091)",7,17.602,12.376,
530225,602926406,4071975,Müllerstraße,primary,50,True,15.708,"LINESTRING (13.337277 52.5587091, 13.337447 52.5586128)",7,38.561,14.556,
530225,602926393,47347064,Petersallee,residential,30,True,64.779,"LINESTRING (13.337277 52.5587091, 13.3371956 52.5586408, 13.3370117 52.5584863, 13.3367151 52.5582372)",9,32.676,5.612,
172562,530351,4804203,,primary,50,True,13.66,"LINESTRING (13.3306441 52.5626152, 13.3304715 52.5625513)",9,33.422,11.297,
530351,27197164,36821906,Scharnweberstraße,secondary,50,True,10.932,"LINESTRING (13.3304715 52.5625513, 13.3305811 52.562479)",7,35.573,11.993,
172564,21509247,27606741,Kurt-Schumacher-Platz,secondary,50,True,17.296,"LINESTRING (13.3277078 52.5640457, 13.3279209 52.5639596)",7,33.444,10.578,
21509247,21509248,4071974,Kurt-Schumacher-Platz,secondary,50,True,14.645,"LINESTRING (13.3279209 52.5639596, 13.3280349 52.5640716)",7,37.794,12.816,
172586,29691250,4068105,Humboldtstraße,tertiary,,False,14.653,"LINESTRING (13.3460089 52.5746796, 13.345956 52.5745518)",9,21.268,7.015,
29691250,173149038,40816891,Humboldtstraße,tertiary,50,False,21.749,"LINESTRING (13.345956 52.5745518, 13.3458515 52.5743668)",9,27.454,4.346,
172587,530205,57936173,Aroser Allee,secondary,50,True,15.639,"LINESTRING (13.3521078 52.573666, 13.352136 52.5738056)",9,32.992,7.157,
172587,29493004,31910522,Lindauer Allee,primary,50,True,386.615,"LINESTRING (13.3521078 52.573666, 13.352273 52.5736529, 13.3548581 52.573458, 13.3565475 52.5733325, 13.3575606 52.573291, 13.3577924 52.5732834)",8,41.115,7.955,
29493004,172589,31910522,Lindauer Allee,primary,50,True,80.10900000000001,"LINESTRING (13.3577924 52.5732834, 13.3587869 52.5732709, 13.3588351 52.573267, 13.3589742 52.5732494)",7,29.313,13.924,
172589,530202,40817198,Residenzstraße,secondary,50,False,19.048,"LINESTRING (13.3589742 52.5732494, 13.3590031 52.5734198)",9,13.268,10.734,
172589,665285019,4594653,Residenzstraße,primary,30,True,197.62499999999997,"LINESTRING (13.3589742 52.5732494, 13.3590598 52.5732251, 13.3591857 52.5731657, 13.3593206 52.5730913, 13.3594305 52.5729714, 13.3594979 52.5728631, 13.3595031 52.5728548, 13.3596267 52.5726181, 13.3599984 52.5718903, 13.3601154 52.5716611)",9,34.766,8.063,
530202,172589,40817198,Residenzstraße,secondary,50,False,19.048,"LINESTRING (13.3590031 52.5734198, 13.3589742 52.5732494)",8,36.28,6.967,
665285019,811273887,4594653,Residenzstraße,primary,30,True,96.075,"LINESTRING (13.3601154 52.5716611, 13.360542 52.5708369)",9,23.935,13.219,
172594,223826118,40817197,Emmentaler Straße,secondary,50,False,11.758,"LINESTRING (13.3608121 52.5703344, 13.3609579 52.5703921)",7,25.436,11.878,
172594,21441701,4638313,Residenzstraße,primary,30,True,212.53900000000002,"LINESTRING (13.3608121 52.5703344, 13.3608644 52.5702328, 13.3610127 52.5699711, 13.3617793 52.5685157)",9,32.974,7.183,
172594,29492993,24295532,Emmentaler Straße,secondary,50,False,207.024,"LINESTRING (13.3608121 52.5703344, 13.3606705 52.5702854, 13.3605587 52.5702467, 13.36032 52.5701641, 13.3598664 52.5700359, 13.3595903 52.5699541, 13.3593754 52.5698904, 13.3592272 52.5698465, 13.3580716 52.5695041)",7,31.181,14.132,
223826118,172594,40817197,Emmentaler Straße,secondary,50,False,11.758,"LINESTRING (13.3609579 52.5703921, 13.3608121 52.5703344)",7,26.91,12.122,
223826118,811273912,4594655,Residenzstraße,primary,30,True,56.735,"LINESTRING (13.3609579 52.5703921, 13.3608889 52.5705293, 13.3607729 52.5707517, 13.3607065 52.5708789)",8,34.72,6.649,
223826118,21538178,20834383,Emmentaler Straße,tertiary,50,False,207.19299999999998,"LINESTRING (13.3609579 52.5703921, 13.3610643 52.5704363, 13.3611586 52.5704756, 13.3615868 52.5706537, 13.3634879 52.5714445)",8,36.187,6.435,
21441701,29489364,4638313,Residenzstraße,primary,30,True,74.243,"LINESTRING (13.3617793 52.5685157, 13.3621095 52.5678789)",9,32.294,9.229,
29492993,172594,24295532,Emmentaler Straße,secondary,50,False,207.02399999999994,"LINESTRING (13.3580716 52.5695041, 13.3592272 52.5698465, 13.3593754 52.5698904, 13.3595903 52.5699541, 13.3598664 52.5700359, 13.36032 52.5701641, 13.3605587 52.5702467, 13.3606705 52.5702854, 13.3608121 52.5703344)",8,17.59,11.007,
29492993,29492995,24295532,Emmentaler Straße,secondary,50,False,129.079,"LINESTRING (13.3580716 52.5695041, 13.3579562 52.5694681, 13.3568537 52.569128, 13.3565641 52.5690376, 13.3563688 52.5689784)",9,38.574,6.074,
