,y,x,street_count,ref,highway
172546,52.567738,13.3522545,3,,
530313,52.5678354,13.3526642,3,,
28345850,52.5676227,13.351325,4,,
172547,52.5640768,13.339564,3,,
34694265,52.5642768,13.3385885,3,,
172558,52.5587807,13.3373679,4,,
530225,52.5587091,13.337277,4,,
172562,52.5626152,13.3306441,5,,
530351,52.5625513,13.3304715,4,,
172564,52.5640457,13.3277078,4,,
21509247,52.5639596,13.3279209,4,,
172586,52.5746796,13.3460089,3,,
29691250,52.5745518,13.345956,4,,
172587,52.573666,13.3521078,4,,
530205,52.5738056,13.352136,3,,
29493004,52.5732834,13.3577924,3,,
172589,52.5732494,13.3589742,3,,
530202,52.5734198,13.3590031,4,,
665285019,52.5716611,13.3601154,3,,
172594,52.5703344,13.3608121,4,,
223826118,52.5703921,13.3609579,4,,
21441701,52.5685157,13.3617793,4,,
29492993,52.5695041,13.3580716,4,,
458330,52.5115569,13.2862166,3,7,motorway_junction
26708458,52.5129743,13.286881,4,,
458334,52.5142646,13.2864666,3,,
484078,52.5396169,13.2953729,4,,
267399134,52.541801,13.2963939,3,,
130088130,52.5395368,13.2966793,3,,
484082,52.5465246,13.2994775,3,10,motorway_junction
4584515687,52.547669,13.3003809,3,,
484102,52.5163525,13.2843518,3,,
27216277,52.5144749,13.2851559,3,7,motorway_junction
484110,52.5081564,13.283215,3,8,motorway_junction
487673623,52.5077082,13.2816957,3,,
26662459,52.5068596,13.2822815,3,,
484119,52.5438613,13.2972841,3,,
267398957,52.5419978,13.2963076,3,12,motorway_junction
530176,52.5616065,13.3261419,4,,
29689182,52.5617048,13.3262336,4,,
530177,52.562555,13.3267151,4,,
186969527,52.5625105,13.3265022,4,,
530197,52.556452,13.307804,4,,
26871244,52.555213,13.3066302,3,,
530215,52.574399,13.3478076,4,,
530311,52.5744208,13.3476729,4,,
530283,52.5758061,13.3479332,4,,
602926406,52.5586128,13.337447,4,,
602926393,52.5582372,13.3367151,3,,
530247,52.5735131,13.3315134,4,,
29691244,52.574504,13.331852,4,,
530256,52.5692466,13.3300067,4,,
29690659,52.5692234,13.3298131,4,,
6019010074,52.5696141,13.3301339,3,,
530262,52.5641459,13.3278399,4,,
530293,52.5774346,13.3479569,3,,
74416800,52.5779493,13.347659,3,,
186962583,52.574293,13.3477032,5,,
530312,52.5674533,13.3514095,4,,
530319,52.5669024,13.3164761,4,,
27177313,52.5673262,13.3146942,4,,
530323,52.5684675,13.3547004,3,,
29492995,52.5689784,13.3563688,4,,
530340,52.5674192,13.3511359,4,,
34694348,52.5659532,13.3518359,4,,
27197164,52.562479,13.3305811,4,,
12614600,52.5265215,13.4477657,4,,
29270276,52.5264109,13.4474442,4,,
29784567,52.5277803,13.4463961,3,,
12614629,52.5104911,13.5187785,3,,
587656935,52.5097977,13.5187728,5,,
12614644,52.5375413,13.4287152,4,,
29266235,52.5369429,13.4281696,4,,
12614650,52.5295625,13.4444738,4,,
27195457,52.5301713,13.4461205,3,,
12614651,52.5141418,13.4696325,3,,
29785844,52.5140317,13.4707281,3,,
12614653,52.5223756,13.4506169,4,,
29784655,52.5231248,13.4535749,4,,
29271706,52.5222794,13.450242,4,,
29784666,52.5233937,13.449927,3,,
12614667,52.5147774,13.4633349,3,,
444894685,52.5146736,13.4643394,3,,
12614682,52.5096136,13.5175412,3,,
506039617,52.5087432,13.5188902,3,,
516394458,52.5095311,13.5187836,5,,
12614683,52.5134272,13.4768541,4,,
598234402,52.5134036,13.4770812,4,,
12615161,52.5517188,13.4304841,3,,
1093519531,52.5520314,13.4304257,3,,
288101517,52.5519072,13.4308789,3,,
12615171,52.5565169,13.4292351,4,,
29420114,52.5563511,13.4290947,5,,
12615173,52.5510442,13.4299934,4,,
16541701,52.550953,13.430239,4,,
29419201,52.5505731,13.4297781,3,,
12615195,52.5830418,13.4286107,4,,
26970118,52.5818365,13.4298767,3,,
16541457,52.5162188,13.2606308,4,,
1114040971,52.5154896,13.2618995,3,,
16541461,52.5156244,13.250268,3,,
27559833,52.5156644,13.249482,4,,
16541464,52.5119743,13.2404682,4,,
26943821,52.5119026,13.2402994,4,,
16541465,52.5075329,13.2422722,4,,
26943835,52.5077371,13.2421742,4,,
26943818,52.5075197,13.2420319,4,,
16541466,52.5163368,13.2571384,4,,
16541459,52.5160816,13.2549406,4,,
16541468,52.5097265,13.2715418,4,,
79808381,52.5097039,13.2715298,3,,
16541469,52.5088519,13.2725809,3,,
26904542,52.5090471,13.2735833,3,,
16541471,52.5063783,13.2802193,4,,
26745972,52.5063531,13.2804394,4,,
26745971,52.5060122,13.2800254,3,,
16541478,52.5086784,13.2611617,4,,
282763131,52.5086695,13.2610064,3,,
16541571,52.5344702,13.3010943,3,3,motorway_junction
26750531,52.5345863,13.2975334,4,,
16541593,52.5464255,13.3439163,4,,
27197225,52.5463279,13.3437266,4,,
3805490087,52.5466543,13.3435006,3,,
16541594,52.5461756,13.3442631,4,,
16541596,52.5474624,13.3466944,4,,
16541595,52.5477079,13.3463516,4,,
16541696,52.5538898,13.4143846,4,,
29122654,52.5540773,13.4110426,4,,
5024937412,52.5537214,13.4143438,4,,
16541698,52.5528431,13.424073,4,,
